,Program Name,Course Code,CRN,Subject,Course Number,Section,Title,Type,Day(s),Time,Room,Instructor(s)
0,Anthropology,ANTH 1120,20290,ANTH,1120,001,Intro to Cultural Anthropology,Lecture,-T-R---,1230-1420,A122B,Katharine McEwen
1,Anthropology,ANTH 1120,20293,ANTH,1120,W01,Intro to Cultural Anthropology,WWW,-------,-,WWW,Adam Solomonian
2,Anthropology,ANTH 1221,20736,ANTH,1221,F01,Field Techniques Archaeology,Lecture,M------,1030-1220,A235,Eric Simons
3,Anthropology,ANTH 1221,20736,ANTH,1221,F01,Field Techniques Archaeology,Field School,----F--,1030-1620,OFFC,Eric Simons
4,Anthropology,ANTH 1221,20736,ANTH,1221,F01,Field Techniques Archaeology,Lab,--W----,1030-1220,A235,Eric Simons
5,Anthropology,ANTH 1222,20737,ANTH,1222,F01,Fld Mthds Archaeology:Lab Anly,Lecture,M------,1430-1620,A235,Katharine McEwen
6,Anthropology,ANTH 1222,20737,ANTH,1222,F01,Fld Mthds Archaeology:Lab Anly,Lecture,--W----,1430-1620,A235,Katharine McEwen
7,Anthropology,ANTH 1223,20738,ANTH,1223,F01,Mthds in Archaelgy:Geosptl Ana,Lecture,M------,1230-1420,A235,Eric Simons
8,Anthropology,ANTH 1223,20738,ANTH,1223,F01,Mthds in Archaelgy:Geosptl Ana,Field School,----F--,1030-1620,OFFC,Eric Simons
9,Anthropology,ANTH 1223,20738,ANTH,1223,F01,Mthds in Archaelgy:Geosptl Ana,Lab,--W----,1230-1420,A235,Eric Simons
10,Anthropology,ANTH 1400,20357,ANTH,1400,001,Forensic Anthropology,Lecture,-T-R---,1430-1620,A235,Katharine McEwen
11,Anthropology,ANTH 2270,20358,ANTH,2270,001,Anthropology of Food,Lecture,M-W----,1030-1220,A338,Adam Solomonian
12,Applied Planning,APPL 5310,20564,APPL,5310,M01,Advanced Planning Methods,Lecture,---R---,1800-2050,A255,Matthew Bourke
13,Applied Planning,APPL 5310,20564,APPL,5310,M01,Advanced Planning Methods,Lecture,-------,-,WWW,Matthew Bourke
14,Applied Planning,APPL 5320,20565,APPL,5320,M01,3D Computer Apps in Planning,Lecture,-T-----,1800-2050,A362,. TBA
15,Applied Planning,APPL 5320,20565,APPL,5320,M01,3D Computer Apps in Planning,Lecture,-------,-,WWW,. TBA
16,Applied Planning,APPL 5330,20566,APPL,5330,M01,Plan Studio: Sustainability,Lecture,--W----,1800-2050,A272,Eric Aderneck
17,Applied Planning,APPL 5330,20566,APPL,5330,M01,Plan Studio: Sustainability,Lecture,-------,-,WWW,Eric Aderneck
18,Applied Planning,APPL 5340,20567,APPL,5340,M01,Major Project,Lecture,M------,1800-2050,A272,Kathryn Nairne
19,Applied Planning,APPL 5340,20567,APPL,5340,M01,Major Project,Lecture,-------,-,WWW,Kathryn Nairne
20,Applied Planning,APPL 5595,20568,APPL,5595,M01,Special Topics V,Lecture,----F--,0900-1550,A274,Eric Aderneck
21,Applied Planning,APPL 5595,20568,APPL,5595,M01,Special Topics V,Lecture,-------,-,WWW,Eric Aderneck
22,Applied Social Sciences and Hu,DASH 2199,20702,DASH,2199,W01,Applied Project,WWW,-------,-,WWW,Colin Mills
23,Art History,AHIS 1113,20080,AHIS,1113,W01,Nineteenth Century Art History,WWW,-------,-,WWW,Anne Kristiansen
24,Art History,AHIS 1301,20081,AHIS,1301,A01,Modern Art I,Lecture,-T-R---,1430-1720,B021,Geoffrey Carr
25,Art History,AHIS 1317,20228,AHIS,1317,AW1,Cultural Heritage in Crisis,WWW,-------,-,WWW,Anne Kristiansen
26,Art History,AHIS 2250,20229,AHIS,2250,A01,Intro to Crit and Cult Theory,Lecture,-T-R---,1030-1320,B021,Geoffrey Carr
27,Asian Studies,ASIA 1120,20677,ASIA,1120,AF1,Religions of the East,Lecture,MTWR---,1030-1220,A308,Benjamin Wood
28,Asian Studies,ASIA 1120,20677,ASIA,1120,AF1,Religions of the East,Field School,-------,-,OFFC,Benjamin Wood
29,Asian Studies,ASIA 1120,20396,ASIA,1120,W01,Religions of the East,WWW,M------,1430-1620,WWW,Todd Klaiman
30,Asian Studies,ASIA 1120,20396,ASIA,1120,W01,Religions of the East,WWW,-------,-,WWW,Todd Klaiman
31,Asian Studies,ASIA 1130,20398,ASIA,1130,001,Intro to Southeast Asia,Lecture,-T-R---,1430-1620,A346,Todd Klaiman
32,Asian Studies,ASIA 1135,20675,ASIA,1135,AF1,Intro to East Asia (Japan),Lecture,MTWR---,1330-1520,A308,Nariko Takayanagi
33,Asian Studies,ASIA 1135,20675,ASIA,1135,AF1,Intro to East Asia (Japan),Field School,-------,-,OFFC,Nariko Takayanagi
34,Asian Studies,ASIA 1140,20492,ASIA,1140,AF1,Cross-Cultural Perspectives I,Lecture,MTWRF--,1230-1420,A210,Avram Agov
35,Asian Studies,ASIA 1140,20492,ASIA,1140,AF1,Cross-Cultural Perspectives I,Field School,-------,-,OFFC,Avram Agov
36,Asian Studies,ASIA 1140,20678,ASIA,1140,AF2,Cross-Cultural Perspectives I,Lecture,MTWR---,1030-1220,A308,Nariko Takayanagi
37,Asian Studies,ASIA 1140,20678,ASIA,1140,AF2,Cross-Cultural Perspectives I,Field School,-------,-,OFFC,Nariko Takayanagi
38,Asian Studies,ASIA 1240,20679,ASIA,1240,AF1,Cross-Cultural Perspectives II,Lecture,MTWR---,1030-1220,A308,Nariko Takayanagi
39,Asian Studies,ASIA 1240,20679,ASIA,1240,AF1,Cross-Cultural Perspectives II,Field School,-------,-,OFFC,Nariko Takayanagi
40,Asian Studies,ASIA 2115,20676,ASIA,2115,AF1,Japanese Society and Culture,Lecture,MTWR---,1530-1720,A308,Nariko Takayanagi
41,Asian Studies,ASIA 2115,20676,ASIA,2115,AF1,Japanese Society and Culture,Field School,-------,-,OFFC,Nariko Takayanagi
42,Asian Studies,ASIA 2260,20399,ASIA,2260,M01,Asian Mythology,Lecture,---R---,1230-1420,A346,Todd Klaiman
